German,English
herr ,Mr
andere ,other
getan ,did
rein ,pure
bringen ,bring
ganze ,whole
essen ,meal
kinder ,children
glauben ,believe
genug ,enough
darf ,may
junge ,Boy
stimmt ,Right
brauchen ,to need
gegen ,versus
dage ,dage
skyld ,Skyld
sagt ,says
altså ,old
stille ,silence
fundet ,foundet
fem ,fem
allerede ,Allede
rigtig ,rigid
slags ,Slags
disse ,dissse
én ,Én
l ,L
arbejder ,Arbejder
ønsker ,Ønsker
grund ,ground
huske ,huske
farvel ,farvel
orden ,medal
hvornår ,Hvornår
slå ,Slå
taget ,daily
s ,S
glad ,glad
dø ,do
rigtigt ,rigid
hørte ,heard
minutter ,minother
længere ,Længere
hey ,hey
bil ,bil
lyder ,lyder
hørt ,hørt
begge ,begge
hinanden ,come up
kvinde ,kvinde
senere ,senere
del ,del
dræbe ,draft
håber ,Håber
barn ,barn
politiet ,political
hører ,Hører
haft ,imprisonment
herfra ,Herfra
fejl ,Fejl
rolig ,roly
fire ,fire
kommet ,come
hus ,Hus
bilen ,bilen
rundt ,rounded
tænkte ,tænken
fortæl ,Fortæl
helvede ,Helvede
klare ,clear
hurtigt ,murky
sket ,sket
bliv ,bliv
dør ,dør
virker ,Virker
frem ,strange
hr ,Mr
venter ,jail
hvilken ,Hvilken
kører ,Kører
pas ,pas
langt ,long
heller ,brighter
lort ,lort
byen ,Byen
næsten ,næsten
spørgsmål ,Spørgsmål
ny ,ny
livet ,livet
bror ,bror
gået ,gået
hellere ,lighter
sandt ,sandy
side ,side
leder ,leather
indtil ,indilus
fortalte ,foral
ringer ,wrestling
inden ,in the
imod ,imod
dreng ,dreng
ingenting ,engineer
sød ,sød
vejen ,vein
ok ,OK
videre ,videre
tænker ,tænker
ord ,ordained
sjovt ,sjovt
bad ,bath
problem ,problem
sit ,sit
nogensinde ,nogensee
sent ,sentence
sæt ,sæt
mens ,mens
ondt ,ontt
job ,job
lang ,long
inde ,in the
snakke ,snakke
bør ,boron
problemer ,problems
beklager ,wager
prøve ,Prøve
timer ,timer
køre ,Køre
klarer ,clearer
bag ,bag
vise ,pish
svært ,svært
ligner ,ligner
færdig ,færdig
datter ,datter
lader ,loader
gammel ,ramble
dog ,dog
egen ,ie
hjemme ,hjemme
ti ,Ti
stedet ,stedet
fantastisk ,fantastic
forbi ,forbi
omkring ,omkring
kæft ,Kæft
bor ,boron
john ,John
mad ,mad
igennem ,igennem
sidder ,sidder
tænk ,tænk
tænke ,tænke
pengene ,Pengene
føler ,Føler
dræbte ,draft
